"TOA5","Fluxtower CR3000","CR3000","3500","CR3000.Std.11","CPU:OzFlux_QUT_2010_11_09.CR3","12231","slow_core"
"TIMESTAMP","RECORD","Fsd_CNR1_Avg","Fsu_CNR1_Avg","Fld_CNR1_Avg","Flu_CNR1_Avg","Fn_NRL_Avg","Fg_CN3_01_Avg","Fh_Avg","Fe_raw_Avg","Fc_raw_Avg","Fm_Avg","Cc_7500_Avg","Ah_7500_Avg","ps_7500_Avg","Ux_CSAT_Avg","Uy_CSAT_Avg","Uz_CSAT_Avg","Tv_CSAT_Avg","Ta_HMP_01_Avg","RH_HMP_01_Avg","Ts_TCAV_01_Avg","Sws_616_01_raw_Avg","Rain_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","mg/m^2/s","kg/m/s^2","mg/m^3","g/m^3","kPa","m/s","m/s","m/s","C","C","fraction","C","ms","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot"
"2013-01-17 00:00:00",28243,-0.7351162,1.422681,363.7189,388.3034,-31.05815,-8.266269,-0.6401013,-1.101912,0.07450412,0.002476663,805.3595,13.78126,100.5618,-0.2886303,-0.1058791,-0.007906597,18.87764,17.59271,0.8827929,25.06823,19.0612,0
"2013-01-17 00:30:00",28244,-0.9009934,1.358315,366.9962,387.0055,-29.96029,-8.931654,-0.6744855,0.211663,0.03247728,0.002555756,818.8874,13.40707,100.5378,-0.065402,-0.03349971,-0.005351972,18.4573,17.13383,0.8914991,24.84326,19.05585,0
"2013-01-17 01:00:00",28245,-0.6450359,1.638413,369.2541,386.6742,-29.73109,-9.568482,-0.7755368,0.1716319,0.0001522452,0.001913827,819.3655,12.83091,100.509,-0.1844503,-0.05822875,-0.00228982,18.13959,16.86509,0.8992288,24.62938,19.05066,0
"2013-01-17 01:30:00",28246,-0.6577901,1.422063,370.7417,387.2727,-30.38898,-10.16679,-0.8142243,-2.691345,0.02938294,0.001454885,836.1474,12.53414,100.4646,-0.3430881,-0.2480474,-0.005033833,17.91727,16.58088,0.9057817,24.41185,19.04534,0
"2013-01-17 02:00:00",28247,-0.8694009,1.287835,371.4044,386.2068,-30.23171,-10.65863,1.009119,1.663457,-0.04679577,0.001898813,857.7107,12.3597,100.4459,-0.1069318,-0.01966,0.0005386528,17.61617,16.38777,0.9105551,24.21662,19.04025,0
"2013-01-17 02:30:00",28248,-0.7014807,1.469173,371.7574,385.4916,-30.34427,-11.04848,-2.203488,-3.130841,-0.006800263,0.002088254,866.6953,11.78257,100.4127,-0.2378806,-0.1154616,-0.001184042,17.41333,16.156,0.9144508,24.03888,19.03588,0
"2013-01-17 03:00:00",28249,-0.8345988,1.248716,372.5469,385.0532,-29.65106,-11.43391,0.2498396,1.197019,-0.08135121,0.001005907,849.813,11.54252,100.4081,-0.1036937,0.1025907,0.0037285,17.10072,15.92684,0.9183787,23.86459,19.03208,0
"2013-01-17 03:30:00",28250,-0.7588428,1.333144,372.9402,384.8496,-30.22999,-11.76056,-0.3494392,2.247741,-0.08431056,0.006962389,864.9678,10.5948,100.4227,-0.2901802,-0.08605807,-0.001699847,17.00878,15.74569,0.9221199,23.69634,19.0276,0
"2013-01-17 04:00:00",28251,-0.947459,1.06464,372.8571,384.4221,-29.93182,-12.05317,-0.5771819,-0.4198435,-0.2736427,0.006648702,860.1507,10.45894,100.4363,-0.1699943,0.002112125,0.007315319,16.78108,15.57095,0.9243757,23.53643,19.02345,0
"2013-01-17 04:30:00",28252,-0.6038851,1.451461,372.6411,383.1234,-28.10602,-12.26364,0.3864598,0.003853367,-0.00761495,0.0004012026,858.774,10.38134,100.4726,-0.06964391,0.1241719,0.006285722,16.67954,15.44884,0.927083,23.40144,19.01904,0
