"TOA5","Fluxtower CR3000","CR3000","3500","CR3000.Std.11","CPU:OzFlux_QUT_2010_11_09.CR3","12231","slow_met"
"TIMESTAMP","RECORD","Ux_CSAT_Avg","Uy_CSAT_Avg","Uz_CSAT_Avg","WS_CSAT_Avg","WD_CSAT_Avg","WD_CSAT_Compass_Avg","WD_CSAT_Sd","WS_WS4_Avg","WD_WS4_Avg","WD_WS4_Sd","Diag_WS4_Tot","Cc_7500_Avg","Ah_7500_Avg","ps_7500_Avg","Tv_CSAT_Avg","Ta_HMP_01_Avg","RH_HMP_01_Avg","Ah_HMP_01_Avg","rho_a_Avg","Ts_TCAV_01_Avg","Ts_TCAV_02_Avg","Ts_TCAV_03_Avg","Sws_616_01_Avg","Sws_616_02_Avg","Sws_616_03_Avg","Sws_616_04_Avg","Sws_616_05_Avg","Sws_616_06_Avg","Sws_616_07_Avg","Sws_616_08_Avg","Sws_616_09_Avg","Sws_616_10_Avg","Sws_616_11_Avg","Sws_616_12_Avg","Sws_616_13_Avg","Sws_616_14_Avg","Sws_616_15_Avg","Sws_616_16_Avg","Rain_Tot","Tpanel_Avg","Vbat_Avg"
"TS","RN","m/s","m/s","m/s","m/s","degrees","degrees","degrees","m/s","degrees","degrees","none","mg/m^3","g/m^3","kPa","C","C","fraction","","kg/m^3","C","C","C","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","mm","C","V"
"","","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg"
"2013-01-16 19:30:00",28234,0.3721311,0.6902345,0.04891415,0.8661879,61.34006,218.6599,29.76654,0.8706552,27.56358,25.81257,0,674.3951,15.21917,100.577,25.25197,23.91831,0.616414,13.34405,1.171393,28.08264,26.19742,27.7219,0.06915576,0.5367699,0.6996829,0.635183,0.08453914,0.3750358,0.7020161,0.6532076,0.535671,0.6661483,0.569999,0.1551026,0.6428299,0.5245451,0.1265069,0.6190639,0,26.28396,12.22387
"2013-01-16 20:00:00",28235,0.08910237,-0.03711404,0.03246158,0.4073521,-51.27362,331.2736,87.26701,0.4194032,113.8552,73.88391,0,687.6089,15.23113,100.6062,24.15897,22.85157,0.6619217,13.48313,1.175904,27.70235,26.08342,27.3366,0.06901622,0.5370051,0.6996232,0.6351294,0.08444282,0.3751648,0.7019774,0.6532028,0.535674,0.6661417,0.5702369,0.1548878,0.6427926,0.5245001,0.1263046,0.6190038,0,24.7631,12.20098
"2013-01-16 20:30:00",28236,-0.2254299,-0.1974859,0.001137111,0.3393727,-138.4371,58.43707,34.52316,0.2926665,0,0,"NAN",701.5956,15.11877,100.6231,22.8913,21.55562,0.7099103,13.42191,1.181349,27.29983,25.94492,26.97058,0.068879,0.5372337,0.6995878,0.6350902,0.08435452,0.375309,0.7019457,0.653165,0.5359026,0.6661485,0.5704316,0.1546451,0.6427382,0.5245172,0.1260572,0.6189102,0,23.3923,12.18129
"2013-01-16 21:00:00",28237,-0.2456983,-0.151567,-0.008739153,0.3519815,-148.7609,68.76093,33.0676,0.3098813,0,0,"NAN",723.2828,14.90348,100.6439,21.96956,20.53818,0.7538379,13.43707,1.185704,26.89104,25.77809,26.62068,0.06873652,0.5373778,0.6995508,0.6350905,0.08424374,0.3754665,0.7019103,0.6531309,0.5361483,0.6661657,0.5705863,0.1543755,0.6426958,0.5244973,0.1257873,0.6188302,0,22.15238,12.16127
"2013-01-16 21:30:00",28238,-0.3964392,-0.1065884,-0.01004757,0.4315583,-167.5253,87.52533,19.86345,0.3589846,238.2814,22.76117,0,772.5966,14.84632,100.6674,21.17701,19.79385,0.7902583,13.48682,1.188989,26.50883,25.59159,26.28523,0.06859716,0.5375127,0.6995437,0.6351238,0.08413847,0.3755836,0.7019122,0.6530781,0.5364957,0.6661759,0.5706633,0.1541301,0.642667,0.5244567,0.1255799,0.6188267,0,21.09186,12.14343
"2013-01-16 22:00:00",28239,-0.4524398,-0.09814455,-0.008149667,0.4801846,-169.5045,89.50452,15.88584,0.4241873,0,0,"NAN",785.1015,14.68093,100.6683,20.50257,19.18047,0.818468,13.47402,1.191519,26.16253,25.41698,25.96572,0.06846865,0.5375863,0.6995437,0.6351138,0.08402934,0.3756657,0.7019085,0.6530386,0.5368968,0.6661882,0.570768,0.1538581,0.6426416,0.5244473,0.1253656,0.6188068,0,20.21182,12.12603
"2013-01-16 22:30:00",28240,-0.4725939,-0.2324614,-0.003045486,0.5734676,-155.262,75.26202,23.98697,0.5009532,226.9784,26.16128,0,789.2769,14.47558,100.6488,20.00726,18.64347,0.8482029,13.52808,1.193464,25.83773,25.25964,25.68867,0.06833016,0.5376365,0.6995473,0.6351291,0.08391526,0.3756308,0.7019049,0.6530028,0.5370784,0.66619,0.5707744,0.1536371,0.6425791,0.5244539,0.1251767,0.6188501,0,19.49846,12.11044
"2013-01-16 23:00:00",28241,-0.5012307,-0.2755438,-0.0004153889,0.597514,-149.7083,69.70831,18.28579,0.4982128,0,0,"NAN",802.6901,14.26198,100.6405,19.64391,18.2461,0.8645288,13.46775,1.195041,25.53942,25.10708,25.43091,0.06819718,0.5376381,0.6995791,0.6350817,0.08380698,0.3756698,0.7019314,0.652994,0.537204,0.6662137,0.5707729,0.1533843,0.6425008,0.5244398,0.1249831,0.6188321,0,18.93973,12.09658
"2013-01-16 23:30:00",28242,-0.2439116,-0.01259106,-0.00683982,0.3325369,175.0644,104.9356,45.05327,0.2772414,259.989,53.81654,0,802.5037,14.14228,100.6003,19.33866,17.96424,0.8725393,13.36705,1.195787,25.26652,24.96498,25.20076,0.06807495,0.5376224,0.6995896,0.6350831,0.08371891,0.3756577,0.7019316,0.6529328,0.5372573,0.6662313,0.570694,0.1531991,0.642457,0.5244319,0.1248079,0.6188119,0,18.53193,12.08496
"2013-01-17 00:00:00",28243,-0.2886303,-0.1058791,-0.007906597,0.3959938,-154.5569,74.55688,56.80359,0.3651793,0,0,"NAN",805.3595,13.78126,100.5618,18.87764,17.59271,0.8827929,13.22773,1.196946,25.06823,24.8525,24.99231,0.0679452,0.5375568,0.6996264,0.6350099,0.08362366,0.3755756,0.7019367,0.6529191,0.5372354,0.6662504,0.5706694,0.1529617,0.6423737,0.5244413,0.1246399,0.6187786,0,18.17143,12.07192
"2013-01-17 00:30:00",28244,-0.065402,-0.03349971,-0.005351972,0.1813636,-152.9325,72.9325,85.25722,0.1581373,0,0,"NAN",818.8874,13.40707,100.5378,18.4573,17.13383,0.8914991,12.99713,1.198704,24.84326,24.74299,24.80052,0.06783609,0.5374766,0.6996635,0.6350886,0.08354289,0.3755366,0.7019756,0.6528952,0.5371977,0.666262,0.5705462,0.152789,0.6423364,0.5244429,0.1244863,0.6187651,0,17.80673,12.05993
"2013-01-17 01:00:00",28245,-0.1844503,-0.05822875,-0.00228982,0.2791618,-164.6035,84.60349,53.07732,0.2261763,0,0,"NAN",819.3655,12.83091,100.509,18.13959,16.86509,0.8992288,12.9001,1.199537,24.62938,24.62646,24.61055,0.0677302,0.5373449,0.699697,0.6350481,0.08345081,0.3754503,0.7020284,0.6528493,0.5371758,0.6663175,0.5704625,0.1525592,0.6422737,0.524435,0.1243295,0.6187218,0,17.46476,12.05019
"2013-01-17 01:30:00",28246,-0.3430881,-0.2480474,-0.005033833,0.4569124,-142.7255,62.72546,24.6312,0.3930797,211.7919,28.27748,0,836.1474,12.53414,100.4646,17.91727,16.58088,0.9057817,12.774,1.200263,24.41185,24.51378,24.44279,0.06762192,0.5371961,0.6997074,0.6350125,0.08337824,0.3753143,0.7020602,0.6528252,0.5370693,0.6663295,0.5702245,0.1524428,0.6422464,0.5244383,0.1241806,0.6186771,0,17.16941,12.03936
"2013-01-17 02:00:00",28247,-0.1069318,-0.01966,0.0005386528,0.3746772,170.2039,109.7961,88.95786,0.3362087,268.2685,93.96487,0,857.7107,12.3597,100.4459,17.61617,16.38777,0.9105551,12.69321,1.200892,24.21662,24.40624,24.27798,0.0675183,0.5370175,0.6997604,0.6350483,0.08329595,0.3751448,0.7020707,0.6528012,0.5369895,0.6663433,0.5700298,0.152274,0.642143,0.5244197,0.12403,0.6186886,0,16.91489,12.02928
"2013-01-17 02:30:00",28248,-0.2378806,-0.1154616,-0.001184042,0.3736528,-146.9415,66.94153,56.87768,0.3167683,214.4669,61.27899,0,866.6953,11.78257,100.4127,17.41333,16.156,0.9144508,12.5702,1.201534,24.03888,24.31033,24.11913,0.06742948,0.5368218,0.699766,0.6350614,0.08320965,0.3750156,0.7020971,0.6527981,0.5368767,0.6663673,0.5698124,0.1521047,0.6420754,0.5244057,0.1238886,0.6186919,0,16.65838,12.01899
